,All AUD,All %,Long AUD,Long %,Short AUD,Short %
Net Profit,213.13,0.21,213.13,0.21,0,0.00
Gross Profit,213.13,0.21,213.13,0.21,0,0.00
Gross Loss,0,0.00,0,0.00,0,0.00
Max Run-up,221.13,0.22,,,,
Max Drawdown,67.42,0.07,,,,
Buy & Hold Return,111371.34,111.37,,,,
Sharpe Ratio,-4.673,,,,,
Sortino Ratio,-0.978,,,,,
Profit Factor,N/A,,N/A,,N/A,
Max Contracts Held,330,,330,,0,
Open PL,0,0.00,,,,
Commission Paid,56.00,,56.00,,0,
Total Closed Trades,7,,7,,0,
Total Open Trades,0,,0,,0,
Number Winning Trades,7,,7,,0,
Number Losing Trades,0,,0,,0,
Percent Profitable,100.00,,100.00,,N/A,
Avg Trade,30.45,1.22,30.45,1.22,N/A,N/A
Avg Winning Trade,30.45,1.22,30.45,1.22,N/A,N/A
Avg Losing Trade,N/A,N/A,N/A,N/A,N/A,N/A
Ratio Avg Win / Avg Loss,N/A,,N/A,,N/A,
Largest Winning Trade,47.62,1.91,47.62,1.91,N/A,N/A
Largest Losing Trade,N/A,N/A,N/A,N/A,N/A,N/A
Avg # Bars in Trades,71,,71,,0,
Avg # Bars in Winning Trades,71,,71,,0,
Avg # Bars in Losing Trades,0,,0,,0,
Margin Calls,0,,0,,0,
