,All AUD,All %,Long AUD,Long %,Short AUD,Short %
Net Profit,319.27,0.32,319.27,0.32,0,0.00
Gross Profit,333.28,0.33,333.28,0.33,0,0.00
Gross Loss,14.01,0.01,14.01,0.01,0,0.00
Max Run-up,342.02,0.34,,,,
Max Drawdown,270.25,0.27,,,,
Buy & Hold Return,-1386.56,-1.39,,,,
Sharpe Ratio,-4.387,,,,,
Sortino Ratio,-0.975,,,,,
Profit Factor,23.788,,23.788,,N/A,
Max Contracts Held,226,,226,,0,
Open PL,-7.50,-0.01,,,,
Commission Paid,76.00,,76.00,,0,
Total Closed Trades,10,,10,,0,
Total Open Trades,1,,1,,0,
Number Winning Trades,9,,9,,0,
Number Losing Trades,1,,1,,0,
Percent Profitable,90.00,,90.00,,N/A,
Avg Trade,31.93,1.30,31.93,1.30,N/A,N/A
Avg Winning Trade,37.03,1.48,37.03,1.48,N/A,N/A
Avg Losing Trade,14.01,0.40,14.01,0.40,N/A,N/A
Ratio Avg Win / Avg Loss,2.643,,2.643,,N/A,
Largest Winning Trade,58.45,2.34,58.45,2.34,N/A,N/A
Largest Losing Trade,10.01,0.40,10.01,0.40,N/A,N/A
Avg # Bars in Trades,182,,182,,0,
Avg # Bars in Winning Trades,162,,162,,0,
Avg # Bars in Losing Trades,359,,359,,0,
Margin Calls,0,,0,,0,
