,All AUD,All %,Long AUD,Long %,Short AUD,Short %
Net Profit,455.24,0.46,455.24,0.46,0,0.00
Gross Profit,455.24,0.46,455.24,0.46,0,0.00
Gross Loss,0,0.00,0,0.00,0,0.00
Max Run-up,463.24,0.46,,,,
Max Drawdown,193.17,0.19,,,,
Buy & Hold Return,39783.15,39.78,,,,
Sharpe Ratio,-2.033,,,,,
Sortino Ratio,-0.902,,,,,
Profit Factor,N/A,,N/A,,N/A,
Max Contracts Held,697,,697,,0,
Open PL,0,0.00,,,,
Commission Paid,84.00,,84.00,,0,
Total Closed Trades,12,,12,,0,
Total Open Trades,0,,0,,0,
Number Winning Trades,12,,12,,0,
Number Losing Trades,0,,0,,0,
Percent Profitable,100.00,,100.00,,N/A,
Avg Trade,37.94,1.52,37.94,1.52,N/A,N/A
Avg Winning Trade,37.94,1.52,37.94,1.52,N/A,N/A
Avg Losing Trade,N/A,N/A,N/A,N/A,N/A,N/A
Ratio Avg Win / Avg Loss,N/A,,N/A,,N/A,
Largest Winning Trade,115.51,4.63,115.51,4.63,N/A,N/A
Largest Losing Trade,N/A,N/A,N/A,N/A,N/A,N/A
Avg # Bars in Trades,144,,144,,0,
Avg # Bars in Winning Trades,144,,144,,0,
Avg # Bars in Losing Trades,0,,0,,0,
Margin Calls,0,,0,,0,
