,All AUD,All %,Long AUD,Long %,Short AUD,Short %
Net Profit,252.43,0.25,252.43,0.25,0,0.00
Gross Profit,301.08,0.30,301.08,0.30,0,0.00
Gross Loss,48.65,0.05,48.65,0.05,0,0.00
Max Run-up,341.47,0.34,,,,
Max Drawdown,410.09,0.41,,,,
Buy & Hold Return,1498.12,1.50,,,,
Sharpe Ratio,-3.663,,,,,
Sortino Ratio,-0.965,,,,,
Profit Factor,6.189,,6.189,,N/A,
Max Contracts Held,3010,,3010,,0,
Open PL,0,0.00,,,,
Commission Paid,68.00,,68.00,,0,
Total Closed Trades,10,,10,,0,
Total Open Trades,0,,0,,0,
Number Winning Trades,7,,7,,0,
Number Losing Trades,3,,3,,0,
Percent Profitable,70.00,,70.00,,N/A,
Avg Trade,25.24,1.01,25.24,1.01,N/A,N/A
Avg Winning Trade,43.01,1.72,43.01,1.72,N/A,N/A
Avg Losing Trade,16.22,0.65,16.22,0.65,N/A,N/A
Ratio Avg Win / Avg Loss,2.652,,2.652,,N/A,
Largest Winning Trade,97.53,3.91,97.53,3.91,N/A,N/A
Largest Losing Trade,34.67,1.39,34.67,1.39,N/A,N/A
Avg # Bars in Trades,305,,305,,0,
Avg # Bars in Winning Trades,259,,259,,0,
Avg # Bars in Losing Trades,414,,414,,0,
Margin Calls,0,,0,,0,
