,All AUD,All %,Long AUD,Long %,Short AUD,Short %
Net Profit,297.83,0.30,297.83,0.30,0,0.00
Gross Profit,369.41,0.37,369.41,0.37,0,0.00
Gross Loss,71.58,0.07,71.58,0.07,0,0.00
Max Run-up,313.23,0.31,,,,
Max Drawdown,330.09,0.33,,,,
Buy & Hold Return,37942.20,37.94,,,,
Sharpe Ratio,-7.617,,,,,
Sortino Ratio,-0.991,,,,,
Profit Factor,5.161,,5.161,,N/A,
Max Contracts Held,2667,,2667,,0,
Open PL,0,0.00,,,,
Commission Paid,80.00,,80.00,,0,
Total Closed Trades,12,,12,,0,
Total Open Trades,0,,0,,0,
Number Winning Trades,10,,10,,0,
Number Losing Trades,2,,2,,0,
Percent Profitable,83.33,,83.33,,N/A,
Avg Trade,24.82,0.99,24.82,0.99,N/A,N/A
Avg Winning Trade,36.94,1.48,36.94,1.48,N/A,N/A
Avg Losing Trade,35.79,1.42,35.79,1.42,N/A,N/A
Ratio Avg Win / Avg Loss,1.032,,1.032,,N/A,
Largest Winning Trade,85.04,3.40,85.04,3.40,N/A,N/A
Largest Losing Trade,40.04,1.59,40.04,1.59,N/A,N/A
Avg # Bars in Trades,104,,104,,0,
Avg # Bars in Winning Trades,81,,81,,0,
Avg # Bars in Losing Trades,222,,222,,0,
Margin Calls,0,,0,,0,
