,All AUD,All %,Long AUD,Long %,Short AUD,Short %
Net Profit,457.61,0.46,457.61,0.46,0,0.00
Gross Profit,547.97,0.55,547.97,0.55,0,0.00
Gross Loss,90.36,0.09,90.36,0.09,0,0.00
Max Run-up,494.41,0.49,,,,
Max Drawdown,826.90,0.83,,,,
Buy & Hold Return,-12520.24,-12.52,,,,
Sharpe Ratio,-1.642,,,,,
Sortino Ratio,-0.869,,,,,
Profit Factor,6.064,,6.064,,N/A,
Max Contracts Held,1280,,1280,,0,
Open PL,0,0.00,,,,
Commission Paid,76.00,,76.00,,0,
Total Closed Trades,12,,12,,0,
Total Open Trades,0,,0,,0,
Number Winning Trades,8,,8,,0,
Number Losing Trades,4,,4,,0,
Percent Profitable,66.67,,66.67,,N/A,
Avg Trade,38.13,1.50,38.13,1.50,N/A,N/A
Avg Winning Trade,68.50,2.70,68.50,2.70,N/A,N/A
Avg Losing Trade,22.59,0.90,22.59,0.90,N/A,N/A
Ratio Avg Win / Avg Loss,3.032,,3.032,,N/A,
Largest Winning Trade,191.50,7.35,191.50,7.35,N/A,N/A
Largest Losing Trade,58.73,2.35,58.73,2.35,N/A,N/A
Avg # Bars in Trades,499,,499,,0,
Avg # Bars in Winning Trades,304,,304,,0,
Avg # Bars in Losing Trades,889,,889,,0,
Margin Calls,0,,0,,0,
