,All AUD,All %,Long AUD,Long %,Short AUD,Short %
Net Profit,363.21,0.36,363.21,0.36,0,0.00
Gross Profit,489.18,0.49,489.18,0.49,0,0.00
Gross Loss,125.97,0.13,125.97,0.13,0,0.00
Max Run-up,420.09,0.42,,,,
Max Drawdown,901.84,0.90,,,,
Buy & Hold Return,-12252.75,-12.25,,,,
Sharpe Ratio,-5.701,,,,,
Sortino Ratio,-0.985,,,,,
Profit Factor,3.883,,3.883,,N/A,
Max Contracts Held,1222,,1222,,0,
Open PL,0,0.00,,,,
Commission Paid,92.00,,92.00,,0,
Total Closed Trades,13,,13,,0,
Total Open Trades,0,,0,,0,
Number Winning Trades,9,,9,,0,
Number Losing Trades,4,,4,,0,
Percent Profitable,69.23,,69.23,,N/A,
Avg Trade,27.94,1.12,27.94,1.12,N/A,N/A
Avg Winning Trade,54.35,2.17,54.35,2.17,N/A,N/A
Avg Losing Trade,31.49,1.26,31.49,1.26,N/A,N/A
Ratio Avg Win / Avg Loss,1.726,,1.726,,N/A,
Largest Winning Trade,184.67,7.40,184.67,7.40,N/A,N/A
Largest Losing Trade,79.38,3.18,79.38,3.18,N/A,N/A
Avg # Bars in Trades,877,,877,,0,
Avg # Bars in Winning Trades,448,,448,,0,
Avg # Bars in Losing Trades,1842,,1842,,0,
Margin Calls,0,,0,,0,
