,All AUD,All %,Long AUD,Long %,Short AUD,Short %
Net Profit,14.48,0.01,14.48,0.01,0,0.00
Gross Profit,26.48,0.03,26.48,0.03,0,0.00
Gross Loss,12.00,0.01,12.00,0.01,0,0.00
Max Run-up,44.00,0.04,,,,
Max Drawdown,5449.31,5.45,,,,
Buy & Hold Return,-69602.13,-69.60,,,,
Sharpe Ratio,-0.425,,,,,
Sortino Ratio,-0.391,,,,,
Profit Factor,2.207,,2.207,,N/A,
Max Contracts Held,3519,,3519,,0,
Open PL,-4328.82,-4.33,,,,
Commission Paid,20.00,,20.00,,0,
Total Closed Trades,1,,1,,0,
Total Open Trades,3,,3,,0,
Number Winning Trades,1,,1,,0,
Number Losing Trades,0,,0,,0,
Percent Profitable,100.00,,100.00,,N/A,
Avg Trade,14.48,1.06,14.48,1.06,N/A,N/A
Avg Winning Trade,26.48,1.06,26.48,1.06,N/A,N/A
Avg Losing Trade,N/A,N/A,N/A,N/A,N/A,N/A
Ratio Avg Win / Avg Loss,N/A,,N/A,,N/A,
Largest Winning Trade,26.48,1.06,26.48,1.06,N/A,N/A
Largest Losing Trade,N/A,N/A,N/A,N/A,N/A,N/A
Avg # Bars in Trades,25,,25,,0,
Avg # Bars in Winning Trades,25,,25,,0,
Avg # Bars in Losing Trades,0,,0,,0,
Margin Calls,0,,0,,0,
