,All AUD,All %,Long AUD,Long %,Short AUD,Short %
Net Profit,591.74,0.59,591.74,0.59,0,0.00
Gross Profit,635.54,0.64,635.54,0.64,0,0.00
Gross Loss,43.80,0.04,43.80,0.04,0,0.00
Max Run-up,629.99,0.63,,,,
Max Drawdown,311.25,0.31,,,,
Buy & Hold Return,20611.14,20.61,,,,
Sharpe Ratio,-1.807,,,,,
Sortino Ratio,-0.887,,,,,
Profit Factor,14.511,,14.511,,N/A,
Max Contracts Held,483,,483,,0,
Open PL,0,0.00,,,,
Commission Paid,100.00,,100.00,,0,
Total Closed Trades,15,,15,,0,
Total Open Trades,0,,0,,0,
Number Winning Trades,13,,13,,0,
Number Losing Trades,2,,2,,0,
Percent Profitable,86.67,,86.67,,N/A,
Avg Trade,39.45,1.58,39.45,1.58,N/A,N/A
Avg Winning Trade,48.89,1.96,48.89,1.96,N/A,N/A
Avg Losing Trade,21.90,0.87,21.90,0.87,N/A,N/A
Ratio Avg Win / Avg Loss,2.232,,2.232,,N/A,
Largest Winning Trade,167.70,6.71,167.70,6.71,N/A,N/A
Largest Losing Trade,35.71,1.42,35.71,1.42,N/A,N/A
Avg # Bars in Trades,164,,164,,0,
Avg # Bars in Winning Trades,116,,116,,0,
Avg # Bars in Losing Trades,478,,478,,0,
Margin Calls,0,,0,,0,
