,All AUD,All %,Long AUD,Long %,Short AUD,Short %
Net Profit,105.48,0.11,105.48,0.11,0,0.00
Gross Profit,117.48,0.12,117.48,0.12,0,0.00
Gross Loss,12.00,0.01,12.00,0.01,0,0.00
Max Run-up,125.48,0.13,,,,
Max Drawdown,104.10,0.10,,,,
Buy & Hold Return,3107.28,3.11,,,,
Sharpe Ratio,-9.932,,,,,
Sortino Ratio,-0.995,,,,,
Profit Factor,9.79,,9.79,,N/A,
Max Contracts Held,763,,763,,0,
Open PL,-33.75,-0.03,,,,
Commission Paid,52.00,,52.00,,0,
Total Closed Trades,6,,6,,0,
Total Open Trades,1,,1,,0,
Number Winning Trades,5,,5,,0,
Number Losing Trades,1,,1,,0,
Percent Profitable,83.33,,83.33,,N/A,
Avg Trade,17.58,0.73,17.58,0.73,N/A,N/A
Avg Winning Trade,23.50,0.94,23.50,0.94,N/A,N/A
Avg Losing Trade,12.00,0.32,12.00,0.32,N/A,N/A
Ratio Avg Win / Avg Loss,1.958,,1.958,,N/A,
Largest Winning Trade,28.25,1.13,28.25,1.13,N/A,N/A
Largest Losing Trade,8.00,0.32,8.00,0.32,N/A,N/A
Avg # Bars in Trades,513,,513,,0,
Avg # Bars in Winning Trades,587,,587,,0,
Avg # Bars in Losing Trades,138,,138,,0,
Margin Calls,0,,0,,0,
