,All AUD,All %,Long AUD,Long %,Short AUD,Short %
Net Profit,556.58,0.56,556.58,0.56,0,0.00
Gross Profit,556.58,0.56,556.58,0.56,0,0.00
Gross Loss,0,0.00,0,0.00,0,0.00
Max Run-up,592.59,0.59,,,,
Max Drawdown,343.22,0.34,,,,
Buy & Hold Return,-11452.12,-11.45,,,,
Sharpe Ratio,-1.851,,,,,
Sortino Ratio,-0.891,,,,,
Profit Factor,N/A,,N/A,,N/A,
Max Contracts Held,2801,,2801,,0,
Open PL,0,0.00,,,,
Commission Paid,80.00,,80.00,,0,
Total Closed Trades,12,,12,,0,
Total Open Trades,0,,0,,0,
Number Winning Trades,12,,12,,0,
Number Losing Trades,0,,0,,0,
Percent Profitable,100.00,,100.00,,N/A,
Avg Trade,46.38,1.85,46.38,1.85,N/A,N/A
Avg Winning Trade,46.38,1.85,46.38,1.85,N/A,N/A
Avg Losing Trade,N/A,N/A,N/A,N/A,N/A,N/A
Ratio Avg Win / Avg Loss,N/A,,N/A,,N/A,
Largest Winning Trade,168.14,6.72,168.14,6.72,N/A,N/A
Largest Losing Trade,N/A,N/A,N/A,N/A,N/A,N/A
Avg # Bars in Trades,191,,191,,0,
Avg # Bars in Winning Trades,191,,191,,0,
Avg # Bars in Losing Trades,0,,0,,0,
Margin Calls,0,,0,,0,
