,All AUD,All %,Long AUD,Long %,Short AUD,Short %
Net Profit,199.73,0.20,199.73,0.20,0,0.00
Gross Profit,205.70,0.21,205.70,0.21,0,0.00
Gross Loss,5.97,0.01,5.97,0.01,0,0.00
Max Run-up,207.73,0.21,,,,
Max Drawdown,125.90,0.13,,,,
Buy & Hold Return,50359.40,50.36,,,,
Sharpe Ratio,-4.701,,,,,
Sortino Ratio,-0.978,,,,,
Profit Factor,34.464,,34.464,,N/A,
Max Contracts Held,3231,,3231,,0,
Open PL,0,0.00,,,,
Commission Paid,48.00,,48.00,,0,
Total Closed Trades,7,,7,,0,
Total Open Trades,0,,0,,0,
Number Winning Trades,6,,6,,0,
Number Losing Trades,1,,1,,0,
Percent Profitable,85.71,,85.71,,N/A,
Avg Trade,28.53,1.14,28.53,1.14,N/A,N/A
Avg Winning Trade,34.28,1.37,34.28,1.37,N/A,N/A
Avg Losing Trade,5.97,0.24,5.97,0.24,N/A,N/A
Ratio Avg Win / Avg Loss,5.744,,5.744,,N/A,
Largest Winning Trade,76.02,3.04,76.02,3.04,N/A,N/A
Largest Losing Trade,5.97,0.24,5.97,0.24,N/A,N/A
Avg # Bars in Trades,63,,63,,0,
Avg # Bars in Winning Trades,46,,46,,0,
Avg # Bars in Losing Trades,165,,165,,0,
Margin Calls,0,,0,,0,
