,All AUD,All %,Long AUD,Long %,Short AUD,Short %
Net Profit,540.53,0.54,540.53,0.54,0,0.00
Gross Profit,540.53,0.54,540.53,0.54,0,0.00
Gross Loss,0,0.00,0,0.00,0,0.00
Max Run-up,553.21,0.55,,,,
Max Drawdown,120.11,0.12,,,,
Buy & Hold Return,-5196.80,-5.20,,,,
Sharpe Ratio,-2.67,,,,,
Sortino Ratio,-0.936,,,,,
Profit Factor,N/A,,N/A,,N/A,
Max Contracts Held,480,,480,,0,
Open PL,0,0.00,,,,
Commission Paid,112.00,,112.00,,0,
Total Closed Trades,15,,15,,0,
Total Open Trades,0,,0,,0,
Number Winning Trades,15,,15,,0,
Number Losing Trades,0,,0,,0,
Percent Profitable,100.00,,100.00,,N/A,
Avg Trade,36.04,1.44,36.04,1.44,N/A,N/A
Avg Winning Trade,36.04,1.44,36.04,1.44,N/A,N/A
Avg Losing Trade,N/A,N/A,N/A,N/A,N/A,N/A
Ratio Avg Win / Avg Loss,N/A,,N/A,,N/A,
Largest Winning Trade,98.46,3.93,98.46,3.93,N/A,N/A
Largest Losing Trade,N/A,N/A,N/A,N/A,N/A,N/A
Avg # Bars in Trades,116,,116,,0,
Avg # Bars in Winning Trades,116,,116,,0,
Avg # Bars in Losing Trades,0,,0,,0,
Margin Calls,0,,0,,0,
