,All AUD,All %,Long AUD,Long %,Short AUD,Short %
Net Profit,161.08,0.16,161.08,0.16,0,0.00
Gross Profit,161.08,0.16,161.08,0.16,0,0.00
Gross Loss,0,0.00,0,0.00,0,0.00
Max Run-up,169.08,0.17,,,,
Max Drawdown,121.73,0.12,,,,
Buy & Hold Return,30654.45,30.65,,,,
Sharpe Ratio,-7.641,,,,,
Sortino Ratio,-0.992,,,,,
Profit Factor,N/A,,N/A,,N/A,
Max Contracts Held,949,,949,,0,
Open PL,0,0.00,,,,
Commission Paid,36.00,,36.00,,0,
Total Closed Trades,5,,5,,0,
Total Open Trades,0,,0,,0,
Number Winning Trades,5,,5,,0,
Number Losing Trades,0,,0,,0,
Percent Profitable,100.00,,100.00,,N/A,
Avg Trade,32.22,1.28,32.22,1.28,N/A,N/A
Avg Winning Trade,32.22,1.28,32.22,1.28,N/A,N/A
Avg Losing Trade,N/A,N/A,N/A,N/A,N/A,N/A
Ratio Avg Win / Avg Loss,N/A,,N/A,,N/A,
Largest Winning Trade,56.00,2.22,56.00,2.22,N/A,N/A
Largest Losing Trade,N/A,N/A,N/A,N/A,N/A,N/A
Avg # Bars in Trades,519,,519,,0,
Avg # Bars in Winning Trades,519,,519,,0,
Avg # Bars in Losing Trades,0,,0,,0,
Margin Calls,0,,0,,0,
