,All AUD,All %,Long AUD,Long %,Short AUD,Short %
Net Profit,405.44,0.41,405.44,0.41,0,0.00
Gross Profit,457.87,0.46,457.87,0.46,0,0.00
Gross Loss,52.43,0.05,52.43,0.05,0,0.00
Max Run-up,426.50,0.42,,,,
Max Drawdown,278.72,0.28,,,,
Buy & Hold Return,7584.71,7.58,,,,
Sharpe Ratio,-4.376,,,,,
Sortino Ratio,-0.975,,,,,
Profit Factor,8.733,,8.733,,N/A,
Max Contracts Held,701,,701,,0,
Open PL,0,0.00,,,,
Commission Paid,108.00,,108.00,,0,
Total Closed Trades,15,,15,,0,
Total Open Trades,0,,0,,0,
Number Winning Trades,12,,12,,0,
Number Losing Trades,3,,3,,0,
Percent Profitable,80.00,,80.00,,N/A,
Avg Trade,27.03,1.08,27.03,1.08,N/A,N/A
Avg Winning Trade,38.16,1.53,38.16,1.53,N/A,N/A
Avg Losing Trade,17.48,0.70,17.48,0.70,N/A,N/A
Ratio Avg Win / Avg Loss,2.183,,2.183,,N/A,
Largest Winning Trade,94.75,3.79,94.75,3.79,N/A,N/A
Largest Losing Trade,43.46,1.74,43.46,1.74,N/A,N/A
Avg # Bars in Trades,354,,354,,0,
Avg # Bars in Winning Trades,263,,263,,0,
Avg # Bars in Losing Trades,722,,722,,0,
Margin Calls,0,,0,,0,
