,All AUD,All %,Long AUD,Long %,Short AUD,Short %
Net Profit,306.70,0.31,306.70,0.31,0,0.00
Gross Profit,549.64,0.55,549.64,0.55,0,0.00
Gross Loss,242.94,0.24,242.94,0.24,0,0.00
Max Run-up,314.70,0.31,,,,
Max Drawdown,483.22,0.48,,,,
Buy & Hold Return,34061.04,34.06,,,,
Sharpe Ratio,-4.472,,,,,
Sortino Ratio,-0.976,,,,,
Profit Factor,2.262,,2.262,,N/A,
Max Contracts Held,992,,992,,0,
Open PL,0,0.00,,,,
Commission Paid,72.00,,72.00,,0,
Total Closed Trades,11,,11,,0,
Total Open Trades,0,,0,,0,
Number Winning Trades,9,,9,,0,
Number Losing Trades,2,,2,,0,
Percent Profitable,81.82,,81.82,,N/A,
Avg Trade,27.88,1.12,27.88,1.12,N/A,N/A
Avg Winning Trade,61.07,2.45,61.07,2.45,N/A,N/A
Avg Losing Trade,121.47,4.86,121.47,4.86,N/A,N/A
Ratio Avg Win / Avg Loss,0.503,,0.503,,N/A,
Largest Winning Trade,136.06,5.46,136.06,5.46,N/A,N/A
Largest Losing Trade,190.05,7.61,190.05,7.61,N/A,N/A
Avg # Bars in Trades,403,,403,,0,
Avg # Bars in Winning Trades,278,,278,,0,
Avg # Bars in Losing Trades,965,,965,,0,
Margin Calls,0,,0,,0,
