,All AUD,All %,Long AUD,Long %,Short AUD,Short %
Net Profit,161.20,0.16,161.20,0.16,0,0.00
Gross Profit,287.38,0.29,287.38,0.29,0,0.00
Gross Loss,126.18,0.13,126.18,0.13,0,0.00
Max Run-up,176.77,0.18,,,,
Max Drawdown,1919.49,1.92,,,,
Buy & Hold Return,10158.72,10.16,,,,
Sharpe Ratio,-4.783,,,,,
Sortino Ratio,-0.979,,,,,
Profit Factor,2.278,,2.278,,N/A,
Max Contracts Held,4078,,4078,,0,
Open PL,0,0.00,,,,
Commission Paid,32.00,,32.00,,0,
Total Closed Trades,5,,5,,0,
Total Open Trades,0,,0,,0,
Number Winning Trades,4,,4,,0,
Number Losing Trades,1,,1,,0,
Percent Profitable,80.00,,80.00,,N/A,
Avg Trade,32.24,1.29,32.24,1.29,N/A,N/A
Avg Winning Trade,71.85,2.88,71.85,2.88,N/A,N/A
Avg Losing Trade,126.18,5.05,126.18,5.05,N/A,N/A
Ratio Avg Win / Avg Loss,0.569,,0.569,,N/A,
Largest Winning Trade,120.89,4.85,120.89,4.85,N/A,N/A
Largest Losing Trade,126.18,5.05,126.18,5.05,N/A,N/A
Avg # Bars in Trades,6884,,6884,,0,
Avg # Bars in Winning Trades,5736,,5736,,0,
Avg # Bars in Losing Trades,11477,,11477,,0,
Margin Calls,0,,0,,0,
