,All AUD,All %,Long AUD,Long %,Short AUD,Short %
Net Profit,449.27,0.45,449.27,0.45,0,0.00
Gross Profit,594.80,0.59,594.80,0.59,0,0.00
Gross Loss,145.53,0.15,145.53,0.15,0,0.00
Max Run-up,472.33,0.47,,,,
Max Drawdown,563.59,0.56,,,,
Buy & Hold Return,17200.86,17.20,,,,
Sharpe Ratio,-2.567,,,,,
Sortino Ratio,-0.932,,,,,
Profit Factor,4.087,,4.087,,N/A,
Max Contracts Held,2325,,2325,,0,
Open PL,0,0.00,,,,
Commission Paid,96.00,,96.00,,0,
Total Closed Trades,15,,15,,0,
Total Open Trades,0,,0,,0,
Number Winning Trades,11,,11,,0,
Number Losing Trades,4,,4,,0,
Percent Profitable,73.33,,73.33,,N/A,
Avg Trade,29.95,1.20,29.95,1.20,N/A,N/A
Avg Winning Trade,54.07,2.16,54.07,2.16,N/A,N/A
Avg Losing Trade,36.38,1.45,36.38,1.45,N/A,N/A
Ratio Avg Win / Avg Loss,1.486,,1.486,,N/A,
Largest Winning Trade,123.42,4.95,123.42,4.95,N/A,N/A
Largest Losing Trade,57.93,2.32,57.93,2.32,N/A,N/A
Avg # Bars in Trades,650,,650,,0,
Avg # Bars in Winning Trades,364,,364,,0,
Avg # Bars in Losing Trades,1437,,1437,,0,
Margin Calls,0,,0,,0,
