,All AUD,All %,Long AUD,Long %,Short AUD,Short %
Net Profit,318.01,0.32,318.01,0.32,0,0.00
Gross Profit,388.91,0.39,388.91,0.39,0,0.00
Gross Loss,70.90,0.07,70.90,0.07,0,0.00
Max Run-up,345.48,0.34,,,,
Max Drawdown,603.16,0.60,,,,
Buy & Hold Return,52904.67,52.90,,,,
Sharpe Ratio,-1.607,,,,,
Sortino Ratio,-0.849,,,,,
Profit Factor,5.485,,5.485,,N/A,
Max Contracts Held,1604,,1604,,0,
Open PL,0,0.00,,,,
Commission Paid,60.00,,60.00,,0,
Total Closed Trades,10,,10,,0,
Total Open Trades,0,,0,,0,
Number Winning Trades,7,,7,,0,
Number Losing Trades,3,,3,,0,
Percent Profitable,70.00,,70.00,,N/A,
Avg Trade,31.80,1.27,31.80,1.27,N/A,N/A
Avg Winning Trade,55.56,2.22,55.56,2.22,N/A,N/A
Avg Losing Trade,23.63,0.94,23.63,0.94,N/A,N/A
Ratio Avg Win / Avg Loss,2.351,,2.351,,N/A,
Largest Winning Trade,92.92,3.73,92.92,3.73,N/A,N/A
Largest Losing Trade,31.10,1.24,31.10,1.24,N/A,N/A
Avg # Bars in Trades,29,,29,,0,
Avg # Bars in Winning Trades,22,,22,,0,
Avg # Bars in Losing Trades,45,,45,,0,
Margin Calls,0,,0,,0,
