,All AUD,All %,Long AUD,Long %,Short AUD,Short %
Net Profit,124.71,0.12,124.71,0.12,0,0.00
Gross Profit,144.82,0.14,144.82,0.14,0,0.00
Gross Loss,20.11,0.02,20.11,0.02,0,0.00
Max Run-up,136.71,0.14,,,,
Max Drawdown,425.57,0.43,,,,
Buy & Hold Return,12783.15,12.78,,,,
Sharpe Ratio,-0.294,,,,,
Sortino Ratio,-0.61,,,,,
Profit Factor,7.2,,7.2,,N/A,
Max Contracts Held,483,,483,,0,
Open PL,0,0.00,,,,
Commission Paid,28.00,,28.00,,0,
Total Closed Trades,4,,4,,0,
Total Open Trades,0,,0,,0,
Number Winning Trades,3,,3,,0,
Number Losing Trades,1,,1,,0,
Percent Profitable,75.00,,75.00,,N/A,
Avg Trade,31.18,1.25,31.18,1.25,N/A,N/A
Avg Winning Trade,48.27,1.94,48.27,1.94,N/A,N/A
Avg Losing Trade,20.11,0.81,20.11,0.81,N/A,N/A
Ratio Avg Win / Avg Loss,2.4,,2.4,,N/A,
Largest Winning Trade,97.69,3.92,97.69,3.92,N/A,N/A
Largest Losing Trade,20.11,0.81,20.11,0.81,N/A,N/A
Avg # Bars in Trades,394,,394,,0,
Avg # Bars in Winning Trades,318,,318,,0,
Avg # Bars in Losing Trades,621,,621,,0,
Margin Calls,0,,0,,0,
