,All AUD,All %,Long AUD,Long %,Short AUD,Short %
Net Profit,470.02,0.47,470.02,0.47,0,0.00
Gross Profit,554.09,0.55,554.09,0.55,0,0.00
Gross Loss,84.06,0.08,84.06,0.08,0,0.00
Max Run-up,482.02,0.48,,,,
Max Drawdown,375.45,0.37,,,,
Buy & Hold Return,-26197.77,-26.20,,,,
Sharpe Ratio,-4.171,,,,,
Sortino Ratio,-0.972,,,,,
Profit Factor,6.591,,6.591,,N/A,
Max Contracts Held,6116,,6116,,0,
Open PL,0,0.00,,,,
Commission Paid,108.00,,108.00,,0,
Total Closed Trades,16,,16,,0,
Total Open Trades,0,,0,,0,
Number Winning Trades,13,,13,,0,
Number Losing Trades,3,,3,,0,
Percent Profitable,81.25,,81.25,,N/A,
Avg Trade,29.38,1.17,29.38,1.17,N/A,N/A
Avg Winning Trade,42.62,1.70,42.62,1.70,N/A,N/A
Avg Losing Trade,28.02,1.12,28.02,1.12,N/A,N/A
Ratio Avg Win / Avg Loss,1.521,,1.521,,N/A,
Largest Winning Trade,104.41,4.16,104.41,4.16,N/A,N/A
Largest Losing Trade,42.92,1.71,42.92,1.71,N/A,N/A
Avg # Bars in Trades,114,,114,,0,
Avg # Bars in Winning Trades,96,,96,,0,
Avg # Bars in Losing Trades,190,,190,,0,
Margin Calls,0,,0,,0,
