,All AUD,All %,Long AUD,Long %,Short AUD,Short %
Net Profit,652.86,0.65,652.86,0.65,0,0.00
Gross Profit,696.83,0.70,696.83,0.70,0,0.00
Gross Loss,43.97,0.04,43.97,0.04,0,0.00
Max Run-up,663.78,0.66,,,,
Max Drawdown,368.42,0.37,,,,
Buy & Hold Return,-28445.77,-28.45,,,,
Sharpe Ratio,-1.806,,,,,
Sortino Ratio,-0.883,,,,,
Profit Factor,15.846,,15.846,,N/A,
Max Contracts Held,195,,195,,0,
Open PL,0,0.00,,,,
Commission Paid,124.00,,124.00,,0,
Total Closed Trades,18,,18,,0,
Total Open Trades,0,,0,,0,
Number Winning Trades,16,,16,,0,
Number Losing Trades,2,,2,,0,
Percent Profitable,88.89,,88.89,,N/A,
Avg Trade,36.27,1.46,36.27,1.46,N/A,N/A
Avg Winning Trade,43.55,1.76,43.55,1.76,N/A,N/A
Avg Losing Trade,21.99,0.88,21.99,0.88,N/A,N/A
Ratio Avg Win / Avg Loss,1.981,,1.981,,N/A,
Largest Winning Trade,96.71,3.92,96.71,3.92,N/A,N/A
Largest Losing Trade,27.07,1.08,27.07,1.08,N/A,N/A
Avg # Bars in Trades,119,,119,,0,
Avg # Bars in Winning Trades,102,,102,,0,
Avg # Bars in Losing Trades,256,,256,,0,
Margin Calls,0,,0,,0,
