,All AUD,All %,Long AUD,Long %,Short AUD,Short %
Net Profit,221.98,0.22,221.98,0.22,0,0.00
Gross Profit,816.20,0.82,816.20,0.82,0,0.00
Gross Loss,594.22,0.59,594.22,0.59,0,0.00
Max Run-up,242.54,0.24,,,,
Max Drawdown,3882.57,3.88,,,,
Buy & Hold Return,33777.44,33.78,,,,
Sharpe Ratio,-3.88,,,,,
Sortino Ratio,-0.968,,,,,
Profit Factor,1.374,,1.374,,N/A,
Max Contracts Held,7627,,7627,,0,
Open PL,0,0.00,,,,
Commission Paid,32.00,,32.00,,0,
Total Closed Trades,5,,5,,0,
Total Open Trades,0,,0,,0,
Number Winning Trades,3,,3,,0,
Number Losing Trades,2,,2,,0,
Percent Profitable,60.00,,60.00,,N/A,
Avg Trade,44.40,1.88,44.40,1.88,N/A,N/A
Avg Winning Trade,272.07,11.05,272.07,11.05,N/A,N/A
Avg Losing Trade,297.11,11.87,297.11,11.87,N/A,N/A
Ratio Avg Win / Avg Loss,0.916,,0.916,,N/A,
Largest Winning Trade,748.67,30.44,748.67,30.44,N/A,N/A
Largest Losing Trade,330.64,13.23,330.64,13.23,N/A,N/A
Avg # Bars in Trades,4647,,4647,,0,
Avg # Bars in Winning Trades,440,,440,,0,
Avg # Bars in Losing Trades,10956,,10956,,0,
Margin Calls,0,,0,,0,
