,All AUD,All %,Long AUD,Long %,Short AUD,Short %
Net Profit,155.19,0.16,155.19,0.16,0,0.00
Gross Profit,169.16,0.17,169.16,0.17,0,0.00
Gross Loss,13.97,0.01,13.97,0.01,0,0.00
Max Run-up,228.56,0.23,,,,
Max Drawdown,196.52,0.20,,,,
Buy & Hold Return,10572.60,10.57,,,,
Sharpe Ratio,-4.941,,,,,
Sortino Ratio,-0.98,,,,,
Profit Factor,12.113,,12.113,,N/A,
Max Contracts Held,4002,,4002,,0,
Open PL,-67.83,-0.07,,,,
Commission Paid,52.00,,52.00,,0,
Total Closed Trades,6,,6,,0,
Total Open Trades,2,,2,,0,
Number Winning Trades,5,,5,,0,
Number Losing Trades,1,,1,,0,
Percent Profitable,83.33,,83.33,,N/A,
Avg Trade,25.86,1.09,25.86,1.09,N/A,N/A
Avg Winning Trade,33.83,1.35,33.83,1.35,N/A,N/A
Avg Losing Trade,13.97,0.24,13.97,0.24,N/A,N/A
Ratio Avg Win / Avg Loss,2.423,,2.423,,N/A,
Largest Winning Trade,85.59,3.43,85.59,3.43,N/A,N/A
Largest Losing Trade,5.97,0.24,5.97,0.24,N/A,N/A
Avg # Bars in Trades,402,,402,,0,
Avg # Bars in Winning Trades,231,,231,,0,
Avg # Bars in Losing Trades,1259,,1259,,0,
Margin Calls,0,,0,,0,
