,All AUD,All %,Long AUD,Long %,Short AUD,Short %
Net Profit,582.91,0.58,582.91,0.58,0,0.00
Gross Profit,588.20,0.59,588.20,0.59,0,0.00
Gross Loss,5.29,0.01,5.29,0.01,0,0.00
Max Run-up,597.19,0.59,,,,
Max Drawdown,298.13,0.30,,,,
Buy & Hold Return,-15652.00,-15.65,,,,
Sharpe Ratio,-1.526,,,,,
Sortino Ratio,-0.859,,,,,
Profit Factor,111.102,,111.102,,N/A,
Max Contracts Held,785,,785,,0,
Open PL,0,0.00,,,,
Commission Paid,108.00,,108.00,,0,
Total Closed Trades,15,,15,,0,
Total Open Trades,0,,0,,0,
Number Winning Trades,14,,14,,0,
Number Losing Trades,1,,1,,0,
Percent Profitable,93.33,,93.33,,N/A,
Avg Trade,38.86,1.56,38.86,1.56,N/A,N/A
Avg Winning Trade,42.01,1.68,42.01,1.68,N/A,N/A
Avg Losing Trade,5.29,0.21,5.29,0.21,N/A,N/A
Ratio Avg Win / Avg Loss,7.936,,7.936,,N/A,
Largest Winning Trade,155.43,6.25,155.43,6.25,N/A,N/A
Largest Losing Trade,5.29,0.21,5.29,0.21,N/A,N/A
Avg # Bars in Trades,104,,104,,0,
Avg # Bars in Winning Trades,111,,111,,0,
Avg # Bars in Losing Trades,14,,14,,0,
Margin Calls,0,,0,,0,
