,All AUD,All %,Long AUD,Long %,Short AUD,Short %
Net Profit,255.94,0.26,255.94,0.26,0,0.00
Gross Profit,261.24,0.26,261.24,0.26,0,0.00
Gross Loss,5.30,0.01,5.30,0.01,0,0.00
Max Run-up,263.94,0.26,,,,
Max Drawdown,243.52,0.24,,,,
Buy & Hold Return,59872.36,59.87,,,,
Sharpe Ratio,-3.525,,,,,
Sortino Ratio,-0.962,,,,,
Profit Factor,49.253,,49.253,,N/A,
Max Contracts Held,3190,,3190,,0,
Open PL,0,0.00,,,,
Commission Paid,48.00,,48.00,,0,
Total Closed Trades,7,,7,,0,
Total Open Trades,0,,0,,0,
Number Winning Trades,6,,6,,0,
Number Losing Trades,1,,1,,0,
Percent Profitable,85.71,,85.71,,N/A,
Avg Trade,36.56,1.46,36.56,1.46,N/A,N/A
Avg Winning Trade,43.54,1.74,43.54,1.74,N/A,N/A
Avg Losing Trade,5.30,0.21,5.30,0.21,N/A,N/A
Ratio Avg Win / Avg Loss,8.209,,8.209,,N/A,
Largest Winning Trade,103.44,4.13,103.44,4.13,N/A,N/A
Largest Losing Trade,5.30,0.21,5.30,0.21,N/A,N/A
Avg # Bars in Trades,19,,19,,0,
Avg # Bars in Winning Trades,13,,13,,0,
Avg # Bars in Losing Trades,53,,53,,0,
Margin Calls,0,,0,,0,
