,All AUD,All %,Long AUD,Long %,Short AUD,Short %
Net Profit,442.16,0.44,442.16,0.44,0,0.00
Gross Profit,461.92,0.46,461.92,0.46,0,0.00
Gross Loss,19.76,0.02,19.76,0.02,0,0.00
Max Run-up,450.16,0.45,,,,
Max Drawdown,212.06,0.21,,,,
Buy & Hold Return,87989.09,87.99,,,,
Sharpe Ratio,-3.071,,,,,
Sortino Ratio,-0.951,,,,,
Profit Factor,23.376,,23.376,,N/A,
Max Contracts Held,1483,,1483,,0,
Open PL,0,0.00,,,,
Commission Paid,80.00,,80.00,,0,
Total Closed Trades,11,,11,,0,
Total Open Trades,0,,0,,0,
Number Winning Trades,10,,10,,0,
Number Losing Trades,1,,1,,0,
Percent Profitable,90.91,,90.91,,N/A,
Avg Trade,40.20,1.61,40.20,1.61,N/A,N/A
Avg Winning Trade,46.19,1.85,46.19,1.85,N/A,N/A
Avg Losing Trade,19.76,0.79,19.76,0.79,N/A,N/A
Ratio Avg Win / Avg Loss,2.338,,2.338,,N/A,
Largest Winning Trade,95.24,3.81,95.24,3.81,N/A,N/A
Largest Losing Trade,19.76,0.79,19.76,0.79,N/A,N/A
Avg # Bars in Trades,88,,88,,0,
Avg # Bars in Winning Trades,61,,61,,0,
Avg # Bars in Losing Trades,357,,357,,0,
Margin Calls,0,,0,,0,
