,All AUD,All %,Long AUD,Long %,Short AUD,Short %
Net Profit,414.79,0.41,414.79,0.41,0,0.00
Gross Profit,593.57,0.59,593.57,0.59,0,0.00
Gross Loss,178.78,0.18,178.78,0.18,0,0.00
Max Run-up,433.63,0.43,,,,
Max Drawdown,263.49,0.26,,,,
Buy & Hold Return,5284.50,5.28,,,,
Sharpe Ratio,-4.296,,,,,
Sortino Ratio,-0.974,,,,,
Profit Factor,3.32,,3.32,,N/A,
Max Contracts Held,3472,,3472,,0,
Open PL,0,0.00,,,,
Commission Paid,116.00,,116.00,,0,
Total Closed Trades,17,,17,,0,
Total Open Trades,0,,0,,0,
Number Winning Trades,14,,14,,0,
Number Losing Trades,3,,3,,0,
Percent Profitable,82.35,,82.35,,N/A,
Avg Trade,24.40,0.98,24.40,0.98,N/A,N/A
Avg Winning Trade,42.40,1.70,42.40,1.70,N/A,N/A
Avg Losing Trade,59.59,2.38,59.59,2.38,N/A,N/A
Ratio Avg Win / Avg Loss,0.711,,0.711,,N/A,
Largest Winning Trade,86.71,3.47,86.71,3.47,N/A,N/A
Largest Losing Trade,111.77,4.46,111.77,4.46,N/A,N/A
Avg # Bars in Trades,237,,237,,0,
Avg # Bars in Winning Trades,187,,187,,0,
Avg # Bars in Losing Trades,471,,471,,0,
Margin Calls,0,,0,,0,
