,All AUD,All %,Long AUD,Long %,Short AUD,Short %
Net Profit,198.23,0.20,198.23,0.20,0,0.00
Gross Profit,540.86,0.54,540.86,0.54,0,0.00
Gross Loss,342.63,0.34,342.63,0.34,0,0.00
Max Run-up,210.23,0.21,,,,
Max Drawdown,1150.63,1.15,,,,
Buy & Hold Return,-37083.20,-37.08,,,,
Sharpe Ratio,-6.691,,,,,
Sortino Ratio,-0.989,,,,,
Profit Factor,1.579,,1.579,,N/A,
Max Contracts Held,392,,392,,0,
Open PL,0,0.00,,,,
Commission Paid,52.00,,52.00,,0,
Total Closed Trades,8,,8,,0,
Total Open Trades,0,,0,,0,
Number Winning Trades,5,,5,,0,
Number Losing Trades,3,,3,,0,
Percent Profitable,62.50,,62.50,,N/A,
Avg Trade,24.78,1.01,24.78,1.01,N/A,N/A
Avg Winning Trade,108.17,4.38,108.17,4.38,N/A,N/A
Avg Losing Trade,114.21,4.60,114.21,4.60,N/A,N/A
Ratio Avg Win / Avg Loss,0.947,,0.947,,N/A,
Largest Winning Trade,260.57,10.51,260.57,10.51,N/A,N/A
Largest Losing Trade,207.57,8.38,207.57,8.38,N/A,N/A
Avg # Bars in Trades,605,,605,,0,
Avg # Bars in Winning Trades,319,,319,,0,
Avg # Bars in Losing Trades,1081,,1081,,0,
Margin Calls,0,,0,,0,
