,All AUD,All %,Long AUD,Long %,Short AUD,Short %
Net Profit,253.93,0.25,253.93,0.25,0,0.00
Gross Profit,260.63,0.26,260.63,0.26,0,0.00
Gross Loss,6.70,0.01,6.70,0.01,0,0.00
Max Run-up,272.13,0.27,,,,
Max Drawdown,103.08,0.10,,,,
Buy & Hold Return,29674.50,29.67,,,,
Sharpe Ratio,-4.452,,,,,
Sortino Ratio,-0.976,,,,,
Profit Factor,38.913,,38.913,,N/A,
Max Contracts Held,1062,,1062,,0,
Open PL,0,0.00,,,,
Commission Paid,64.00,,64.00,,0,
Total Closed Trades,9,,9,,0,
Total Open Trades,0,,0,,0,
Number Winning Trades,7,,7,,0,
Number Losing Trades,2,,2,,0,
Percent Profitable,77.78,,77.78,,N/A,
Avg Trade,28.21,1.13,28.21,1.13,N/A,N/A
Avg Winning Trade,37.23,1.49,37.23,1.49,N/A,N/A
Avg Losing Trade,3.35,0.13,3.35,0.13,N/A,N/A
Ratio Avg Win / Avg Loss,11.118,,11.118,,N/A,
Largest Winning Trade,55.90,2.23,55.90,2.23,N/A,N/A
Largest Losing Trade,5.98,0.24,5.98,0.24,N/A,N/A
Avg # Bars in Trades,45,,45,,0,
Avg # Bars in Winning Trades,35,,35,,0,
Avg # Bars in Losing Trades,79,,79,,0,
Margin Calls,0,,0,,0,
