,All AUD,All %,Long AUD,Long %,Short AUD,Short %
Net Profit,646.44,0.65,646.44,0.65,0,0.00
Gross Profit,650.44,0.65,650.44,0.65,0,0.00
Gross Loss,4.00,0.00,4.00,0.00,0,0.00
Max Run-up,737.94,0.73,,,,
Max Drawdown,499.41,0.50,,,,
Buy & Hold Return,40294.80,40.29,,,,
Sharpe Ratio,-0.985,,,,,
Sortino Ratio,-0.792,,,,,
Profit Factor,162.61,,162.61,,N/A,
Max Contracts Held,1325,,1325,,0,
Open PL,-141.10,-0.14,,,,
Commission Paid,68.00,,68.00,,0,
Total Closed Trades,9,,9,,0,
Total Open Trades,1,,1,,0,
Number Winning Trades,9,,9,,0,
Number Losing Trades,0,,0,,0,
Percent Profitable,100.00,,100.00,,N/A,
Avg Trade,71.83,2.89,71.83,2.89,N/A,N/A
Avg Winning Trade,72.27,2.89,72.27,2.89,N/A,N/A
Avg Losing Trade,N/A,N/A,N/A,N/A,N/A,N/A
Ratio Avg Win / Avg Loss,N/A,,N/A,,N/A,
Largest Winning Trade,225.16,9.01,225.16,9.01,N/A,N/A
Largest Losing Trade,N/A,N/A,N/A,N/A,N/A,N/A
Avg # Bars in Trades,245,,245,,0,
Avg # Bars in Winning Trades,245,,245,,0,
Avg # Bars in Losing Trades,0,,0,,0,
Margin Calls,0,,0,,0,
