,All AUD,All %,Long AUD,Long %,Short AUD,Short %
Net Profit,151.80,0.15,151.80,0.15,0,0.00
Gross Profit,161.78,0.16,161.78,0.16,0,0.00
Gross Loss,9.98,0.01,9.98,0.01,0,0.00
Max Run-up,186.92,0.19,,,,
Max Drawdown,219.96,0.22,,,,
Buy & Hold Return,-15665.40,-15.67,,,,
Sharpe Ratio,-7.581,,,,,
Sortino Ratio,-0.991,,,,,
Profit Factor,16.218,,16.218,,N/A,
Max Contracts Held,1575,,1575,,0,
Open PL,7.78,0.01,,,,
Commission Paid,44.00,,44.00,,0,
Total Closed Trades,6,,6,,0,
Total Open Trades,1,,1,,0,
Number Winning Trades,5,,5,,0,
Number Losing Trades,1,,1,,0,
Percent Profitable,83.33,,83.33,,N/A,
Avg Trade,25.30,1.04,25.30,1.04,N/A,N/A
Avg Winning Trade,32.36,1.30,32.36,1.30,N/A,N/A
Avg Losing Trade,9.98,0.24,9.98,0.24,N/A,N/A
Ratio Avg Win / Avg Loss,3.244,,3.244,,N/A,
Largest Winning Trade,59.95,2.40,59.95,2.40,N/A,N/A
Largest Losing Trade,5.98,0.24,5.98,0.24,N/A,N/A
Avg # Bars in Trades,227,,227,,0,
Avg # Bars in Winning Trades,225,,225,,0,
Avg # Bars in Losing Trades,237,,237,,0,
Margin Calls,0,,0,,0,
