,All AUD,All %,Long AUD,Long %,Short AUD,Short %
Net Profit,371.35,0.37,371.35,0.37,0,0.00
Gross Profit,447.93,0.45,447.93,0.45,0,0.00
Gross Loss,76.57,0.08,76.57,0.08,0,0.00
Max Run-up,451.54,0.45,,,,
Max Drawdown,2039.63,2.04,,,,
Buy & Hold Return,42918.00,42.92,,,,
Sharpe Ratio,-2.644,,,,,
Sortino Ratio,-0.935,,,,,
Profit Factor,5.85,,5.85,,N/A,
Max Contracts Held,6924,,6924,,0,
Open PL,0,0.00,,,,
Commission Paid,48.00,,48.00,,0,
Total Closed Trades,8,,8,,0,
Total Open Trades,0,,0,,0,
Number Winning Trades,6,,6,,0,
Number Losing Trades,2,,2,,0,
Percent Profitable,75.00,,75.00,,N/A,
Avg Trade,46.42,1.86,46.42,1.86,N/A,N/A
Avg Winning Trade,74.65,2.99,74.65,2.99,N/A,N/A
Avg Losing Trade,38.29,1.53,38.29,1.53,N/A,N/A
Ratio Avg Win / Avg Loss,1.95,,1.95,,N/A,
Largest Winning Trade,143.17,5.76,143.17,5.76,N/A,N/A
Largest Losing Trade,48.77,1.95,48.77,1.95,N/A,N/A
Avg # Bars in Trades,2645,,2645,,0,
Avg # Bars in Winning Trades,2403,,2403,,0,
Avg # Bars in Losing Trades,3372,,3372,,0,
Margin Calls,0,,0,,0,
