,All AUD,All %,Long AUD,Long %,Short AUD,Short %
Net Profit,1025.24,1.03,1025.24,1.03,0,0.00
Gross Profit,1025.24,1.03,1025.24,1.03,0,0.00
Gross Loss,0,0.00,0,0.00,0,0.00
Max Run-up,1033.24,1.02,,,,
Max Drawdown,350.81,0.35,,,,
Buy & Hold Return,44604.04,44.60,,,,
Sharpe Ratio,-0.347,,,,,
Sortino Ratio,-0.536,,,,,
Profit Factor,N/A,,N/A,,N/A,
Max Contracts Held,4446,,4446,,0,
Open PL,0,0.00,,,,
Commission Paid,64.00,,64.00,,0,
Total Closed Trades,9,,9,,0,
Total Open Trades,0,,0,,0,
Number Winning Trades,9,,9,,0,
Number Losing Trades,0,,0,,0,
Percent Profitable,100.00,,100.00,,N/A,
Avg Trade,113.92,4.55,113.92,4.55,N/A,N/A
Avg Winning Trade,113.92,4.55,113.92,4.55,N/A,N/A
Avg Losing Trade,N/A,N/A,N/A,N/A,N/A,N/A
Ratio Avg Win / Avg Loss,N/A,,N/A,,N/A,
Largest Winning Trade,311.74,12.49,311.74,12.49,N/A,N/A
Largest Losing Trade,N/A,N/A,N/A,N/A,N/A,N/A
Avg # Bars in Trades,205,,205,,0,
Avg # Bars in Winning Trades,205,,205,,0,
Avg # Bars in Losing Trades,0,,0,,0,
Margin Calls,0,,0,,0,
