,All AUD,All %,Long AUD,Long %,Short AUD,Short %
Net Profit,123.99,0.12,123.99,0.12,0,0.00
Gross Profit,148.30,0.15,148.30,0.15,0,0.00
Gross Loss,24.31,0.02,24.31,0.02,0,0.00
Max Run-up,135.99,0.14,,,,
Max Drawdown,183.85,0.18,,,,
Buy & Hold Return,13235.04,13.24,,,,
Sharpe Ratio,-11.701,,,,,
Sortino Ratio,-0.996,,,,,
Profit Factor,6.1,,6.1,,N/A,
Max Contracts Held,1861,,1861,,0,
Open PL,0,0.00,,,,
Commission Paid,44.00,,44.00,,0,
Total Closed Trades,6,,6,,0,
Total Open Trades,0,,0,,0,
Number Winning Trades,5,,5,,0,
Number Losing Trades,1,,1,,0,
Percent Profitable,83.33,,83.33,,N/A,
Avg Trade,20.67,0.83,20.67,0.83,N/A,N/A
Avg Winning Trade,29.66,1.19,29.66,1.19,N/A,N/A
Avg Losing Trade,24.31,0.97,24.31,0.97,N/A,N/A
Ratio Avg Win / Avg Loss,1.22,,1.22,,N/A,
Largest Winning Trade,41.17,1.64,41.17,1.64,N/A,N/A
Largest Losing Trade,24.31,0.97,24.31,0.97,N/A,N/A
Avg # Bars in Trades,217,,217,,0,
Avg # Bars in Winning Trades,201,,201,,0,
Avg # Bars in Losing Trades,293,,293,,0,
Margin Calls,0,,0,,0,
