,All AUD,All %,Long AUD,Long %,Short AUD,Short %
Net Profit,248.91,0.25,248.91,0.25,0,0.00
Gross Profit,391.73,0.39,391.73,0.39,0,0.00
Gross Loss,142.82,0.14,142.82,0.14,0,0.00
Max Run-up,256.91,0.26,,,,
Max Drawdown,1837.24,1.83,,,,
Buy & Hold Return,-4115.34,-4.12,,,,
Sharpe Ratio,-4.208,,,,,
Sortino Ratio,-0.973,,,,,
Profit Factor,2.743,,2.743,,N/A,
Max Contracts Held,583,,583,,0,
Open PL,0,0.00,,,,
Commission Paid,56.00,,56.00,,0,
Total Closed Trades,9,,9,,0,
Total Open Trades,0,,0,,0,
Number Winning Trades,6,,6,,0,
Number Losing Trades,3,,3,,0,
Percent Profitable,66.67,,66.67,,N/A,
Avg Trade,27.66,1.11,27.66,1.11,N/A,N/A
Avg Winning Trade,65.29,2.62,65.29,2.62,N/A,N/A
Avg Losing Trade,47.61,1.91,47.61,1.91,N/A,N/A
Ratio Avg Win / Avg Loss,1.371,,1.371,,N/A,
Largest Winning Trade,184.11,7.39,184.11,7.39,N/A,N/A
Largest Losing Trade,90.37,3.63,90.37,3.63,N/A,N/A
Avg # Bars in Trades,4272,,4272,,0,
Avg # Bars in Winning Trades,2404,,2404,,0,
Avg # Bars in Losing Trades,8008,,8008,,0,
Margin Calls,0,,0,,0,
