,All AUD,All %,Long AUD,Long %,Short AUD,Short %
Net Profit,276.70,0.28,276.70,0.28,0,0.00
Gross Profit,367.68,0.37,367.68,0.37,0,0.00
Gross Loss,90.98,0.09,90.98,0.09,0,0.00
Max Run-up,292.62,0.29,,,,
Max Drawdown,1809.11,1.81,,,,
Buy & Hold Return,15253.65,15.25,,,,
Sharpe Ratio,-4.07,,,,,
Sortino Ratio,-0.971,,,,,
Profit Factor,4.041,,4.041,,N/A,
Max Contracts Held,936,,936,,0,
Open PL,0,0.00,,,,
Commission Paid,68.00,,68.00,,0,
Total Closed Trades,10,,10,,0,
Total Open Trades,0,,0,,0,
Number Winning Trades,7,,7,,0,
Number Losing Trades,3,,3,,0,
Percent Profitable,70.00,,70.00,,N/A,
Avg Trade,27.67,1.11,27.67,1.11,N/A,N/A
Avg Winning Trade,52.53,2.11,52.53,2.11,N/A,N/A
Avg Losing Trade,30.33,1.21,30.33,1.21,N/A,N/A
Ratio Avg Win / Avg Loss,1.732,,1.732,,N/A,
Largest Winning Trade,203.12,8.18,203.12,8.18,N/A,N/A
Largest Losing Trade,82.75,3.31,82.75,3.31,N/A,N/A
Avg # Bars in Trades,1000,,1000,,0,
Avg # Bars in Winning Trades,490,,490,,0,
Avg # Bars in Losing Trades,2192,,2192,,0,
Margin Calls,0,,0,,0,
