,All AUD,All %,Long AUD,Long %,Short AUD,Short %
Net Profit,391.24,0.39,391.24,0.39,0,0.00
Gross Profit,505.46,0.51,505.46,0.51,0,0.00
Gross Loss,114.22,0.11,114.22,0.11,0,0.00
Max Run-up,403.24,0.40,,,,
Max Drawdown,427.07,0.43,,,,
Buy & Hold Return,-20483.10,-20.48,,,,
Sharpe Ratio,-3.618,,,,,
Sortino Ratio,-0.964,,,,,
Profit Factor,4.425,,4.425,,N/A,
Max Contracts Held,550,,550,,0,
Open PL,0,0.00,,,,
Commission Paid,88.00,,88.00,,0,
Total Closed Trades,14,,14,,0,
Total Open Trades,0,,0,,0,
Number Winning Trades,10,,10,,0,
Number Losing Trades,4,,4,,0,
Percent Profitable,71.43,,71.43,,N/A,
Avg Trade,27.95,1.12,27.95,1.12,N/A,N/A
Avg Winning Trade,50.55,2.03,50.55,2.03,N/A,N/A
Avg Losing Trade,28.55,1.14,28.55,1.14,N/A,N/A
Ratio Avg Win / Avg Loss,1.77,,1.77,,N/A,
Largest Winning Trade,84.99,3.42,84.99,3.42,N/A,N/A
Largest Losing Trade,65.47,2.62,65.47,2.62,N/A,N/A
Avg # Bars in Trades,370,,370,,0,
Avg # Bars in Winning Trades,315,,315,,0,
Avg # Bars in Losing Trades,510,,510,,0,
Margin Calls,0,,0,,0,
