,All AUD,All %,Long AUD,Long %,Short AUD,Short %
Net Profit,768.60,0.77,768.60,0.77,0,0.00
Gross Profit,897.59,0.90,897.59,0.90,0,0.00
Gross Loss,128.99,0.13,128.99,0.13,0,0.00
Max Run-up,816.35,0.81,,,,
Max Drawdown,792.52,0.79,,,,
Buy & Hold Return,-17419.32,-17.42,,,,
Sharpe Ratio,-2.068,,,,,
Sortino Ratio,-0.901,,,,,
Profit Factor,6.959,,6.959,,N/A,
Max Contracts Held,6350,,6350,,0,
Open PL,0,0.00,,,,
Commission Paid,140.00,,140.00,,0,
Total Closed Trades,23,,23,,0,
Total Open Trades,0,,0,,0,
Number Winning Trades,18,,18,,0,
Number Losing Trades,5,,5,,0,
Percent Profitable,78.26,,78.26,,N/A,
Avg Trade,33.42,1.33,33.42,1.33,N/A,N/A
Avg Winning Trade,49.87,1.99,49.87,1.99,N/A,N/A
Avg Losing Trade,25.80,1.02,25.80,1.02,N/A,N/A
Ratio Avg Win / Avg Loss,1.933,,1.933,,N/A,
Largest Winning Trade,103.71,4.16,103.71,4.16,N/A,N/A
Largest Losing Trade,46.66,1.85,46.66,1.85,N/A,N/A
Avg # Bars in Trades,300,,300,,0,
Avg # Bars in Winning Trades,262,,262,,0,
Avg # Bars in Losing Trades,437,,437,,0,
Margin Calls,0,,0,,0,
