,All AUD,All %,Long AUD,Long %,Short AUD,Short %
Net Profit,256.42,0.26,256.42,0.26,0,0.00
Gross Profit,298.47,0.30,298.47,0.30,0,0.00
Gross Loss,42.05,0.04,42.05,0.04,0,0.00
Max Run-up,297.52,0.30,,,,
Max Drawdown,237.94,0.24,,,,
Buy & Hold Return,391786.50,391.79,,,,
Sharpe Ratio,-3.431,,,,,
Sortino Ratio,-0.96,,,,,
Profit Factor,7.098,,7.098,,N/A,
Max Contracts Held,2263,,2263,,0,
Open PL,0,0.00,,,,
Commission Paid,52.00,,52.00,,0,
Total Closed Trades,8,,8,,0,
Total Open Trades,0,,0,,0,
Number Winning Trades,7,,7,,0,
Number Losing Trades,1,,1,,0,
Percent Profitable,87.50,,87.50,,N/A,
Avg Trade,32.05,1.28,32.05,1.28,N/A,N/A
Avg Winning Trade,42.64,1.70,42.64,1.70,N/A,N/A
Avg Losing Trade,42.05,1.68,42.05,1.68,N/A,N/A
Ratio Avg Win / Avg Loss,1.014,,1.014,,N/A,
Largest Winning Trade,95.25,3.82,95.25,3.82,N/A,N/A
Largest Losing Trade,42.05,1.68,42.05,1.68,N/A,N/A
Avg # Bars in Trades,28,,28,,0,
Avg # Bars in Winning Trades,22,,22,,0,
Avg # Bars in Losing Trades,72,,72,,0,
Margin Calls,0,,0,,0,
