,All AUD,All %,Long AUD,Long %,Short AUD,Short %
Net Profit,437.79,0.44,437.79,0.44,0,0.00
Gross Profit,515.18,0.52,515.18,0.52,0,0.00
Gross Loss,77.39,0.08,77.39,0.08,0,0.00
Max Run-up,449.79,0.45,,,,
Max Drawdown,708.86,0.71,,,,
Buy & Hold Return,13749.78,13.75,,,,
Sharpe Ratio,-4.121,,,,,
Sortino Ratio,-0.972,,,,,
Profit Factor,6.657,,6.657,,N/A,
Max Contracts Held,3393,,3393,,0,
Open PL,0,0.00,,,,
Commission Paid,108.00,,108.00,,0,
Total Closed Trades,16,,16,,0,
Total Open Trades,0,,0,,0,
Number Winning Trades,12,,12,,0,
Number Losing Trades,4,,4,,0,
Percent Profitable,75.00,,75.00,,N/A,
Avg Trade,27.36,1.10,27.36,1.10,N/A,N/A
Avg Winning Trade,42.93,1.72,42.93,1.72,N/A,N/A
Avg Losing Trade,19.35,0.78,19.35,0.78,N/A,N/A
Ratio Avg Win / Avg Loss,2.219,,2.219,,N/A,
Largest Winning Trade,98.94,3.98,98.94,3.98,N/A,N/A
Largest Losing Trade,49.09,1.97,49.09,1.97,N/A,N/A
Avg # Bars in Trades,316,,316,,0,
Avg # Bars in Winning Trades,268,,268,,0,
Avg # Bars in Losing Trades,461,,461,,0,
Margin Calls,0,,0,,0,
