,All AUD,All %,Long AUD,Long %,Short AUD,Short %
Net Profit,291.44,0.29,291.44,0.29,0,0.00
Gross Profit,330.96,0.33,330.96,0.33,0,0.00
Gross Loss,39.52,0.04,39.52,0.04,0,0.00
Max Run-up,300.03,0.30,,,,
Max Drawdown,587.62,0.59,,,,
Buy & Hold Return,30751.70,30.75,,,,
Sharpe Ratio,-5.862,,,,,
Sortino Ratio,-0.986,,,,,
Profit Factor,8.374,,8.374,,N/A,
Max Contracts Held,59,,59,,0,
Open PL,0,0.00,,,,
Commission Paid,72.00,,72.00,,0,
Total Closed Trades,10,,10,,0,
Total Open Trades,0,,0,,0,
Number Winning Trades,8,,8,,0,
Number Losing Trades,2,,2,,0,
Percent Profitable,80.00,,80.00,,N/A,
Avg Trade,29.14,1.19,29.14,1.19,N/A,N/A
Avg Winning Trade,41.37,1.68,41.37,1.68,N/A,N/A
Avg Losing Trade,19.76,0.79,19.76,0.79,N/A,N/A
Ratio Avg Win / Avg Loss,2.094,,2.094,,N/A,
Largest Winning Trade,91.47,3.72,91.47,3.72,N/A,N/A
Largest Losing Trade,34.68,1.39,34.68,1.39,N/A,N/A
Avg # Bars in Trades,489,,489,,0,
Avg # Bars in Winning Trades,310,,310,,0,
Avg # Bars in Losing Trades,1206,,1206,,0,
Margin Calls,0,,0,,0,
