,All AUD,All %,Long AUD,Long %,Short AUD,Short %
Net Profit,694.62,0.69,694.62,0.69,0,0.00
Gross Profit,798.36,0.80,798.36,0.80,0,0.00
Gross Loss,103.74,0.10,103.74,0.10,0,0.00
Max Run-up,716.68,0.71,,,,
Max Drawdown,331.99,0.33,,,,
Buy & Hold Return,-38557.03,-38.56,,,,
Sharpe Ratio,-2.258,,,,,
Sortino Ratio,-0.915,,,,,
Profit Factor,7.696,,7.696,,N/A,
Max Contracts Held,5305,,5305,,0,
Open PL,0,0.00,,,,
Commission Paid,140.00,,140.00,,0,
Total Closed Trades,21,,21,,0,
Total Open Trades,0,,0,,0,
Number Winning Trades,18,,18,,0,
Number Losing Trades,3,,3,,0,
Percent Profitable,85.71,,85.71,,N/A,
Avg Trade,33.08,1.32,33.08,1.32,N/A,N/A
Avg Winning Trade,44.35,1.77,44.35,1.77,N/A,N/A
Avg Losing Trade,34.58,1.38,34.58,1.38,N/A,N/A
Ratio Avg Win / Avg Loss,1.283,,1.283,,N/A,
Largest Winning Trade,93.97,3.75,93.97,3.75,N/A,N/A
Largest Losing Trade,73.00,2.91,73.00,2.91,N/A,N/A
Avg # Bars in Trades,304,,304,,0,
Avg # Bars in Winning Trades,256,,256,,0,
Avg # Bars in Losing Trades,589,,589,,0,
Margin Calls,0,,0,,0,
