,All AUD,All %,Long AUD,Long %,Short AUD,Short %
Net Profit,377.96,0.38,377.96,0.38,0,0.00
Gross Profit,398.73,0.40,398.73,0.40,0,0.00
Gross Loss,20.77,0.02,20.77,0.02,0,0.00
Max Run-up,418.81,0.42,,,,
Max Drawdown,144.54,0.14,,,,
Buy & Hold Return,52458.24,52.46,,,,
Sharpe Ratio,-3.18,,,,,
Sortino Ratio,-0.954,,,,,
Profit Factor,19.197,,19.197,,N/A,
Max Contracts Held,1712,,1712,,0,
Open PL,0,0.00,,,,
Commission Paid,96.00,,96.00,,0,
Total Closed Trades,13,,13,,0,
Total Open Trades,0,,0,,0,
Number Winning Trades,11,,11,,0,
Number Losing Trades,2,,2,,0,
Percent Profitable,84.62,,84.62,,N/A,
Avg Trade,29.07,1.16,29.07,1.16,N/A,N/A
Avg Winning Trade,36.25,1.45,36.25,1.45,N/A,N/A
Avg Losing Trade,10.39,0.41,10.39,0.41,N/A,N/A
Ratio Avg Win / Avg Loss,3.49,,3.49,,N/A,
Largest Winning Trade,91.40,3.65,91.40,3.65,N/A,N/A
Largest Losing Trade,19.34,0.77,19.34,0.77,N/A,N/A
Avg # Bars in Trades,53,,53,,0,
Avg # Bars in Winning Trades,46,,46,,0,
Avg # Bars in Losing Trades,93,,93,,0,
Margin Calls,0,,0,,0,
