,All AUD,All %,Long AUD,Long %,Short AUD,Short %
Net Profit,293.89,0.29,293.89,0.29,0,0.00
Gross Profit,297.89,0.30,297.89,0.30,0,0.00
Gross Loss,4.00,0.00,4.00,0.00,0,0.00
Max Run-up,309.89,0.31,,,,
Max Drawdown,79.30,0.08,,,,
Buy & Hold Return,7619.04,7.62,,,,
Sharpe Ratio,-5.107,,,,,
Sortino Ratio,-0.981,,,,,
Profit Factor,74.472,,74.472,,N/A,
Max Contracts Held,2404,,2404,,0,
Open PL,-11.07,-0.01,,,,
Commission Paid,72.00,,72.00,,0,
Total Closed Trades,9,,9,,0,
Total Open Trades,1,,1,,0,
Number Winning Trades,9,,9,,0,
Number Losing Trades,0,,0,,0,
Percent Profitable,100.00,,100.00,,N/A,
Avg Trade,32.65,1.32,32.65,1.32,N/A,N/A
Avg Winning Trade,33.10,1.32,33.10,1.32,N/A,N/A
Avg Losing Trade,N/A,N/A,N/A,N/A,N/A,N/A
Ratio Avg Win / Avg Loss,N/A,,N/A,,N/A,
Largest Winning Trade,66.94,2.68,66.94,2.68,N/A,N/A
Largest Losing Trade,N/A,N/A,N/A,N/A,N/A,N/A
Avg # Bars in Trades,159,,159,,0,
Avg # Bars in Winning Trades,159,,159,,0,
Avg # Bars in Losing Trades,0,,0,,0,
Margin Calls,0,,0,,0,
